RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
359805,20230906,M,20대,충청북도,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,8,8,80,5,5,10,0,게임,자전거-싸이클-산악자전거 직접 타기,낮잠자기,드라이브,없음
369256,20230906,M,20대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,10,50,30,0,20,0,미용,영화관 관람,없음,없음,없음
381415,20230906,M,20대,경상남도,700만원 이상,자기 계발을 위해,스트레스 해소를 위해,4,12,50,12,25,13,0,게임,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,헬스-보디빌딩 직접 하기,독서
382743,20230906,M,20대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,2,8,50,20,20,10,0,게임,산책-걷기,영화관 관람,쇼핑,해외 프로스포츠 영상 시청
410689,20230906,M,20대,서울특별시,300만원 미만,스트레스 해소를 위해,없음,2,5,50,10,20,20,0,기타 취미-오락-휴식,없음,없음,없음,없음
426614,20230906,M,20대,서울특별시,300만원 미만,자기 계발을 위해,대인 관계-교제를 위해,3,5,20,20,30,30,0,음악-라디오 감상,친구-이성친구 만남,미술관-전시관 관람,만화책 보기,쇼핑
442074,20230906,M,20대,대전광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,남는 시간을 보내기 위해,4,2,20,20,40,20,0,축제 참가,없음,없음,없음,없음
449293,20230906,M,20대,경기도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,4,10,60,30,0,10,0,산책-걷기,캠핑-차박,등산 직접 하기,없음,없음
456285,20230906,M,20대,대전광역시,무응답,남는 시간을 보내기 위해,스트레스 해소를 위해,6,8,50,10,20,20,0,낮잠자기,독서,기타 자기계발-자기관리,영상 컨텐츠 시청,헬스-보디빌딩 직접 하기
456556,20230906,M,20대,경상북도,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해,5,8,60,10,10,20,0,볼링_ 당구-포켓볼 직접 하기,요리-베이킹,영상 컨텐츠 시청,반려동물 돌보기,기타 관광-여행
458670,20230906,M,20대,인천광역시,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해,4,4,25,0,75,0,0,기타 문화예술관람,어학-기술-자격증 취득,요리-베이킹,없음,없음
459479,20230906,M,20대,전라북도,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,5,12,20,20,20,40,0,드라이브,갬블,SNS -인터넷 커뮤니티 활동,사진 촬영,기타 스포츠-운동 직접하기
459980,20230906,M,20대,전라북도,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,4,6,30,20,30,20,0,게임,음악-라디오 감상,만화책 보기,음악 직접 활동 및 수강하기,독서
461078,20230906,M,20대,서울특별시,500이상700만원 미만,자기 계발을 위해,스트레스 해소를 위해,4,6,20,40,30,10,0,요리-베이킹,줄넘기-맨손체조-스트레칭 직접 하기,문학 행사 관람,자전거-싸이클-산악자전거 직접 타기,친구-이성친구 만남
462961,20230906,M,20대,서울특별시,700만원 이상,자기 계발을 위해,대인 관계-교제를 위해,5,8,0,60,0,40,0,익스트림스포츠 직접하기,없음,없음,없음,없음
463157,20230906,M,20대,서울특별시,300만원 미만,자기 계발을 위해,없음,2,3,25,25,25,25,0,소풍-피크닉,없음,없음,없음,없음
464151,20230906,M,20대,경기도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,4,8,60,20,0,20,0,영상 컨텐츠 시청,음악-라디오 감상,없음,없음,없음
53322197,20230906,M,30대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,3,3,80,20,0,0,0,만화책 보기,영상 컨텐츠 시청,친구-이성친구 만남,낮잠자기,영화관 관람
53322221,20230906,F,20대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,9,4,90,0,0,10,0,낮잠자기,게임,영상 컨텐츠 시청,없음,없음
53322612,20230906,F,20대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,스트레스 해소를 위해,2,5,80,10,0,10,0,영상 컨텐츠 시청,낮잠자기,만화책 보기,보드게임-퍼즐-바둑-장기-체스 등,수다-잡담하기
53322749,20230906,F,20대,서울특별시,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해,3,8,70,0,0,30,0,영화관 관람,국내 여행,맛집-카페 탐방,없음,없음
53322988,20230906,M,40대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,4,40,20,20,20,0,가족-친지 만남,볼링_ 당구-포켓볼 직접 하기,음악-라디오 감상,음주-유흥,없음
53323177,20230906,M,50대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,5,100,0,0,0,0,음주-유흥,없음,없음,없음,없음
