RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322282,20231213,F,60대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,대인 관계-교제를 위해,1,1,40.00000,20.00000,30.00000,10.00000,0.00000,요리-베이킹,걷기-속보-조깅 직접 하기,생활공예-원예,국내 프로스포츠 영상 시청,친구-이성친구 만남
53322356,20231213,F,20대,서울특별시,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,6,9,70.00000,10.00000,5.00000,15.00000,0.00000,영상 컨텐츠 시청,게임,만화책 보기,없음,없음
53322377,20231213,M,40대,서울특별시,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해,1,3,50.00000,50.00000,0.00000,0.00000,0.00000,골프 직접 하기,자전거-싸이클-산악자전거 직접 타기,영상 컨텐츠 시청,영화관 관람,게임
53322380,20231213,F,50대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,3,10,10.00000,20.00000,20.00000,50.00000,0.00000,걷기-속보-조깅 직접 하기,없음,없음,없음,없음
53322604,20231213,F,40대,서울특별시,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,4,5,10.00000,0.00000,10.00000,80.00000,0.00000,국내 여행,줄넘기-맨손체조-스트레칭 직접 하기,없음,없음,없음
53322653,20231213,F,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,2,3,50.00000,20.00000,20.00000,10.00000,0.00000,생활공예-원예,수다-잡담하기,산책-걷기,없음,없음
53322951,20231213,M,50대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,2,8,30.00000,20.00000,10.00000,40.00000,0.00000,쇼핑,기타 스포츠 영상-현장 관람,등산 직접 하기,계모임-동창회-사교모임,영화관 관람
53323248,20231213,F,60대,서울특별시,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,6,8,20.00000,50.00000,0.00000,30.00000,0.00000,요가-필라테스 직접 하기,수영 직접 하기,계모임-동창회-사교모임,걷기-속보-조깅 직접 하기,가족-친지 만남
53323293,20231213,F,60대,서울특별시,700만원 이상,건강 관리를 위해,대인 관계-교제를 위해,4,3,25.00000,30.00000,20.00000,25.00000,0.00000,헬스-보디빌딩 직접 하기,영상 컨텐츠 시청,친구-이성친구 만남,산책-걷기,골프 직접 하기
53323332,20231213,M,60대,서울특별시,300만원 미만,대인 관계-교제를 위해,없음,1,3,60.00000,10.00000,5.00000,25.00000,0.00000,국내 여행,없음,없음,없음,없음
