RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
151818,20230802,M,20대,강원도,300이상500만원 미만,스트레스 해소를 위해,건강 관리를 위해,4,10,40,40,10,10,0,걷기-속보-조깅 직접 하기,자전거-싸이클-산악자전거 직접 타기,요리-베이킹,등산 직접 하기,없음
158212,20230802,M,20대,서울특별시,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해,3,12,40,30,0,30,0,줄넘기-맨손체조-스트레칭 직접 하기,없음,없음,없음,없음
172192,20230802,M,20대,경상남도,300이상500만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,4,20,20,20,40,0,구기스포츠 직접 하기,신문-잡지보기,산책-걷기,없음,없음
275115,20230802,M,20대,경기도,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,1,3,100,0,0,0,0,게임,영상 컨텐츠 시청,산책-걷기,e스포츠 영상 시청,해외 프로스포츠 영상 시청
337589,20230802,M,20대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해,3,8,50,30,20,0,0,영화관 관람,영상 컨텐츠 시청,게임,요리-베이킹,헬스-보디빌딩 직접 하기
349700,20230802,M,20대,전라남도,700만원 이상,자기만족-즐거움을 위해,자기 계발을 위해,2,3,0,0,70,30,0,음악-라디오 감상,독서,종교활동,없음,없음
350292,20230802,M,20대,경기도,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,1,3,10,10,5,75,0,음악 직접 활동 및 수강하기,영상 컨텐츠 시청,음악-라디오 감상,종교활동,국내 프로스포츠 영상 시청
350800,20230802,M,20대,대구광역시,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,5,100,0,0,0,0,게임,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,없음,없음
366209,20230802,M,20대,경상남도,300만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해,3,3,100,0,0,0,0,영상 컨텐츠 시청,음악-라디오 감상,요리-베이킹,없음,없음
366813,20230802,M,20대,충청남도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,3,8,10,20,10,60,0,만화책 보기,친구-이성친구 만남,게임,e스포츠 영상 시청,반려동물 돌보기
369470,20230802,M,20대,충청남도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,6,6,80,20,0,0,0,영상 컨텐츠 시청,영화관 관람,사진 촬영,음악-라디오 감상,게임
