RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
41927,20230913,M,20대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,2,80,0,20,0,0,낮잠자기,산책-걷기,독서,쇼핑,신문-잡지보기
220015,20230913,M,20대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,남는 시간을 보내기 위해,5,8,75,5,5,15,0,수다-잡담하기,영화관 관람,친구-이성친구 만남,없음,없음
305374,20230913,M,20대,서울특별시,무응답,건강 관리를 위해,마음의 안정-휴식을 위해,4,6,0,50,0,50,0,기타 자기계발-자기관리,없음,없음,없음,없음
347244,20230913,M,20대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,건강 관리를 위해,3,7,50,10,20,20,0,어학-기술-자격증 취득,음악 직접 활동 및 수강하기,가족-친지 만남,없음,없음
360197,20230913,M,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,없음,5,1,20,20,10,50,0,반려동물 돌보기,게임,영화관 관람,친구-이성친구 만남,SNS -인터넷 커뮤니티 활동
360890,20230913,M,20대,서울특별시,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해,5,7,80,0,20,0,0,게임,수다-잡담하기,만화책 보기,없음,없음
370130,20230913,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,3,9,45,30,10,15,0,요리-베이킹,없음,없음,없음,없음
381473,20230913,M,20대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,자기만족-즐거움을 위해,4,12,30,40,10,20,0,사진 직접 활동 및 수강하기,어학-기술-자격증 취득,없음,없음,없음
409117,20230913,M,20대,서울특별시,무응답,자기만족-즐거움을 위해,자기 계발을 위해,3,4,40,0,50,10,0,게임,만화책 보기,독서,요리-베이킹,산책-걷기
421635,20230913,M,20대,대구광역시,300만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,7,12,80,20,0,0,0,게임,음악-라디오 감상,SNS -인터넷 커뮤니티 활동,없음,없음
424048,20230913,M,20대,서울특별시,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,6,30,10,10,50,0,맛집-카페 탐방,영상 컨텐츠 시청,쇼핑,국내 프로스포츠 영상 시청,음악-라디오 감상
424547,20230913,M,20대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,1,1,20,20,20,40,0,음악 직접 활동 및 수강하기,없음,없음,없음,없음
425699,20230913,M,20대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,7,7,100,0,0,0,0,국내 프로스포츠 영상 시청,해외 프로스포츠 영상 시청,격투 스포츠 영상 시청,구기스포츠 직접 하기,낮잠자기
425777,20230913,M,20대,서울특별시,700만원 이상,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해,1,2,40,20,10,30,0,기타 자기계발-자기관리,없음,없음,없음,없음
444910,20230913,M,20대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,마음의 안정-휴식을 위해,2,7,35,25,15,25,0,음악 직접 활동 및 수강하기,없음,없음,없음,없음
