RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
337599,20231011,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,6,12,80,10,0,10,0,게임,수다-잡담하기,친구-이성친구 만남,SNS -인터넷 커뮤니티 활동,국내 여행
351467,20231011,M,20대,전라남도,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,2,3,5,80,0,15,0,해외 프로스포츠 영상 시청,없음,없음,없음,없음
393943,20231011,M,20대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,3,50,5,5,40,0,게임,친구-이성친구 만남,걷기-속보-조깅 직접 하기,쇼핑,음악 직접 활동 및 수강하기
410822,20231011,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,2,10,80,0,0,20,0,음악-라디오 감상,영상 컨텐츠 시청,없음,없음,없음
411040,20231011,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,8,12,80,20,0,0,0,영상 컨텐츠 시청,게임,낮잠자기,헬스-보디빌딩 직접 하기,e스포츠 영상 시청
421494,20231011,M,20대,인천광역시,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,3,8,50,30,0,20,0,해외여행,영상 컨텐츠 시청,만화책 보기,없음,없음
429502,20231011,M,20대,제주특별자치도,300만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,3,5,20,30,10,40,0,수상레저스포츠 직접 하기,없음,없음,없음,없음
445306,20231011,M,20대,경기도,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해,3,5,70,30,0,0,0,게임,SNS -인터넷 커뮤니티 활동,수집,맛집-카페 탐방,친구-이성친구 만남
458259,20231011,M,20대,경기도,500이상700만원 미만,자기 계발을 위해,마음의 안정-휴식을 위해,4,9,40,20,20,20,0,헬스-보디빌딩 직접 하기,없음,없음,없음,없음
458600,20231011,M,20대,인천광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,13,6,20,10,30,40,0,종교활동,낮잠자기,게임,산책-걷기,친구-이성친구 만남
459539,20231011,M,20대,부산광역시,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,8,10,80,10,0,10,0,SNS -인터넷 커뮤니티 활동,반려동물 돌보기,영상 컨텐츠 시청,독서,없음
464235,20231011,M,20대,경기도,무응답,스트레스 해소를 위해,건강 관리를 위해,1,1,90,10,0,0,0,영상 컨텐츠 시청,없음,없음,없음,없음
466162,20231011,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,2,12,95,0,0,5,0,게임,만화책 보기,영상 컨텐츠 시청,없음,없음
467021,20231011,M,20대,부산광역시,300이상500만원 미만,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해,1,4,50,0,30,20,0,해외 프로스포츠 영상 시청,영상 컨텐츠 시청,국내 여행,없음,없음
467471,20231011,M,20대,부산광역시,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,3,5,40,25,25,10,0,게임,산책-걷기,걷기-속보-조깅 직접 하기,음주-유흥,영상 컨텐츠 시청
467597,20231011,M,20대,경기도,700만원 이상,건강 관리를 위해,대인 관계-교제를 위해,3,6,20,40,20,20,0,액티비티-체험,요가-필라테스 직접 하기,친구-이성친구 만남,테마파크-시설 방문,헬스-보디빌딩 직접 하기
467720,20231011,M,20대,경기도,300만원 미만,마음의 안정-휴식을 위해,남는 시간을 보내기 위해,5,10,35,10,35,20,0,친구-이성친구 만남,없음,없음,없음,없음
53322289,20231011,M,30대,서울특별시,700만원 이상,대인 관계-교제를 위해,마음의 안정-휴식을 위해,3,10,50,10,10,30,0,걷기-속보-조깅 직접 하기,친구-이성친구 만남,맛집-카페 탐방,없음,없음
53322366,20231011,F,60대,서울특별시,300만원 미만,자기만족-즐거움을 위해,없음,3,3,20,10,60,10,0,영화관 관람,없음,없음,없음,없음
53322503,20231011,F,50대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,8,8,50,25,0,25,0,영상 컨텐츠 시청,종교활동,걷기-속보-조깅 직접 하기,헬스-보디빌딩 직접 하기,산책-걷기
53322646,20231011,F,60대,서울특별시,700만원 이상,대인 관계-교제를 위해,건강 관리를 위해,6,10,20,30,20,20,10,영화관 관람,종교활동,반려동물 돌보기,걷기-속보-조깅 직접 하기,연극-뮤지컬 관람
53323082,20231011,M,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,4,20,30,0,50,0,전통예술 직접 활동 및 수강하기,가족-친지 만남,국내 프로스포츠 영상 시청,해외 프로스포츠 영상 시청,음주-유흥
