RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
258766,20240522,M,20대,부산광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,2,10,0.00000,30.00000,0.00000,70.00000,0.00000,친구-이성친구 만남,가족-친지 만남,만화책 보기,온천-사우나-찜질방,맛집-카페 탐방
335138,20240522,M,20대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,5,8,25.00000,20.00000,30.00000,25.00000,0.00000,춤-무용 직접 활동 및 수강하기,보드게임-퍼즐-바둑-장기-체스 등,문학 행사 관람,쇼핑,연극-뮤지컬 관람
349455,20240522,M,20대,경상북도,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,3,4,30.00000,50.00000,0.00000,20.00000,0.00000,낮잠자기,없음,없음,없음,없음
349461,20240522,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,4,4,70.00000,0.00000,30.00000,0.00000,0.00000,요리-베이킹,없음,없음,없음,없음
359805,20240522,M,20대,충청북도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,10,12,70.00000,0.00000,10.00000,20.00000,0.00000,게임,영상 컨텐츠 시청,헬스-보디빌딩 직접 하기,없음,없음
393943,20240522,M,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,3,6,30.00000,20.00000,10.00000,40.00000,0.00000,친구-이성친구 만남,음악 공연 관람,영화관 관람,없음,없음
395492,20240522,M,20대,경기도,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,4,10,30.00000,15.00000,5.00000,50.00000,0.00000,영상 컨텐츠 시청,수다-잡담하기,가족-친지 만남,친구-이성친구 만남,산책-걷기
401039,20240522,M,20대,경기도,300이상500만원 미만,대인 관계-교제를 위해,남는 시간을 보내기 위해,5,5,50.00000,0.00000,10.00000,40.00000,0.00000,반려동물 돌보기,없음,없음,없음,없음
409117,20240522,M,20대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,5,7,30.00000,30.00000,30.00000,10.00000,0.00000,게임,영상 컨텐츠 시청,만화책 보기,요리-베이킹,낮잠자기
409432,20240522,M,20대,경기도,700만원 이상,남는 시간을 보내기 위해,스트레스 해소를 위해,8,8,50.00000,0.00000,50.00000,0.00000,0.00000,게임,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,낮잠자기,해외여행
