RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
217301,20231025,M,20대,서울특별시,300만원 미만,건강 관리를 위해,스트레스 해소를 위해,10,15,20,80,0,0,0,구기스포츠 직접 하기,수영 직접 하기,어학-기술-자격증 취득,반려동물 돌보기,음주-유흥
335203,20231025,M,20대,부산광역시,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해,4,8,30,25,40,5,0,독서,없음,없음,없음,없음
349455,20231025,M,20대,경상북도,300만원 미만,대인 관계-교제를 위해,마음의 안정-휴식을 위해,1,2,25,25,0,50,0,국내 프로스포츠 영상 시청,국내 프로스포츠 현장 관람,SNS -인터넷 커뮤니티 활동,낮잠자기,친구-이성친구 만남
393517,20231025,M,20대,경기도,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,1,3,50,30,20,0,0,무도-격투기 직접 하기,영상 컨텐츠 제작,낮잠자기,계모임-동창회-사교모임,친구-이성친구 만남
394833,20231025,M,20대,대전광역시,300만원 미만,스트레스 해소를 위해,대인 관계-교제를 위해,0,1,50,30,10,10,0,음악-라디오 감상,드라이브,산책-걷기,소풍-피크닉,캠핑-차박
419675,20231025,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,6,8,80,10,10,0,0,게임,영상 컨텐츠 시청,헬스-보디빌딩 직접 하기,독서,만화책 보기
429389,20231025,M,20대,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,5,9,40,10,10,40,0,구기스포츠 직접 하기,국내 프로스포츠 현장 관람,영상 컨텐츠 제작,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 시청
442434,20231025,M,20대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,없음,5,3,20,20,30,30,0,어학-기술-자격증 취득,없음,없음,없음,없음
449813,20231025,M,20대,경기도,300이상500만원 미만,대인 관계-교제를 위해,스트레스 해소를 위해,5,12,0,10,30,60,0,국내 여행,가족-친지 만남,걷기-속보-조깅 직접 하기,음악-라디오 감상,게임
451634,20231025,M,20대,전라남도,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,10,10,60,30,0,10,0,헬스-보디빌딩 직접 하기,영상 컨텐츠 시청,격투 스포츠 영상 시청,만화책 보기,SNS -인터넷 커뮤니티 활동
