RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322248,20230705,M,30대,서울특별시,700만원 이상,대인 관계-교제를 위해,자기 계발을 위해,1,5,10,30,10,50,0,친구-이성친구 만남,어학-기술-자격증 취득,기타 자기계발-자기관리,라켓스포츠 직접 하기,영상 컨텐츠 시청
53322259,20230705,F,60대,울산광역시,700만원 이상,남는 시간을 보내기 위해,대인 관계-교제를 위해,2,5,10,10,10,70,0,반려동물 돌보기,종교활동,미용,생활공예-원예,가족-친지 만남
53322272,20230705,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,대인 관계-교제를 위해,4,6,0,10,70,20,0,헬스-보디빌딩 직접 하기,산책-걷기,등산 직접 하기,국내 여행,계모임-동창회-사교모임
53322317,20230705,F,50대,서울특별시,300만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,6,12,58,30,10,2,0,걷기-속보-조깅 직접 하기,산책-걷기,낮잠자기,맛집-카페 탐방,없음
53322648,20230705,F,50대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,4,8,30,20,20,30,0,수다-잡담하기,신문-잡지보기,요리-베이킹,미술관-전시관 관람,연극-뮤지컬 관람
53322755,20230705,M,30대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,자기만족-즐거움을 위해,2,10,90,0,0,10,0,영상 컨텐츠 시청,영상 컨텐츠 제작,SNS -인터넷 커뮤니티 활동,구기스포츠 직접 하기,사진 촬영
53322797,20230705,M,30대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,1,2,70,30,0,0,0,게임,없음,없음,없음,없음
53322854,20230705,F,20대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,대인 관계-교제를 위해,2,10,50,0,20,30,0,산책-걷기,낮잠자기,독서,친구-이성친구 만남,쇼핑
53322866,20230705,M,30대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,2,6,30,0,20,50,0,게임,산책-걷기,맛집-카페 탐방,기타 취미-오락-휴식,만화책 보기
53322949,20230705,M,50대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,없음,3,0,30,30,0,40,0,등산 직접 하기,걷기-속보-조깅 직접 하기,없음,없음,없음
