RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322202,20231018,F,40대,서울특별시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,1,2,30,10,10,50,0,낮잠자기,없음,없음,없음,없음
53322595,20231018,F,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,1,7,80,0,20,0,0,쇼핑,음주-유흥,없음,없음,없음
53322987,20231018,M,20대,서울특별시,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,2,2,100,0,0,0,0,게임,낮잠자기,쇼핑,없음,없음
53323024,20231018,F,20대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,6,15,40,30,5,25,0,가족-친지 만남,게임,수영 직접 하기,수다-잡담하기,낮잠자기
53323031,20231018,M,50대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,2,6,10,10,10,10,60,걷기-속보-조깅 직접 하기,국내 여행,온천-사우나-찜질방,등산 직접 하기,사진 촬영
53323089,20231018,F,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,없음,1,1,50,10,10,10,20,기타 관광-여행,없음,없음,없음,없음
53323098,20231018,F,60대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,2,10,20,20,40,20,0,독서,가족-친지 만남,미술관-전시관 관람,박물관 관람,친구-이성친구 만남
53323105,20231018,F,60대,서울특별시,300만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해,10,8,30,30,20,20,0,종교활동,미술관-전시관 관람,걷기-속보-조깅 직접 하기,온천-사우나-찜질방,수다-잡담하기
53323222,20231018,M,60대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,4,8,10,30,10,50,0,독서,보드게임-퍼즐-바둑-장기-체스 등,걷기-속보-조깅 직접 하기,가족-친지 만남,볼링_ 당구-포켓볼 직접 하기
53323334,20231018,M,40대,서울특별시,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,2,8,80,0,0,20,0,만화책 보기,낮잠자기,산책-걷기,없음,없음
53323366,20231018,F,60대,서울특별시,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,2,4,0,0,70,30,0,독서,산책-걷기,국내 여행,영화관 관람,요리-베이킹
53323379,20231018,F,50대,서울특별시,500이상700만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,5,2,30,30,10,30,0,쇼핑,게임,댄스스포츠 직접 하기,종교활동,친구-이성친구 만남
53323462,20231018,M,20대,서울특별시,300만원 미만,자기 계발을 위해,건강 관리를 위해,3,5,40,20,30,10,0,영상 컨텐츠 시청,게임,볼링_ 당구-포켓볼 직접 하기,걷기-속보-조깅 직접 하기,어학-기술-자격증 취득
53323475,20231018,M,20대,서울특별시,무응답,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,3,10,30,30,10,30,0,영상 컨텐츠 시청,해외여행,음주-유흥,만화책 보기,없음
53323480,20231018,M,20대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,3,80,0,0,20,0,영상 컨텐츠 시청,줄넘기-맨손체조-스트레칭 직접 하기,게임,없음,없음
53323712,20231018,M,60대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,2,10,20,80,0,0,0,걷기-속보-조깅 직접 하기,맛집-카페 탐방,자전거-싸이클-산악자전거 직접 타기,해외여행,등산 직접 하기
53323723,20231018,M,60대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,3,12,50,20,15,15,0,계모임-동창회-사교모임,없음,없음,없음,없음
53323734,20231018,M,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,3,8,30,10,10,50,0,친구-이성친구 만남,산책-걷기,종교활동,국내 여행,헬스-보디빌딩 직접 하기
53323797,20231018,M,50대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,6,50,5,25,20,0,종교활동,걷기-속보-조깅 직접 하기,가족-친지 만남,산책-걷기,국내 프로스포츠 영상 시청
53323955,20231018,F,50대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,1,2,10,0,0,90,0,종교활동,낮잠자기,산책-걷기,테마파크-시설 방문,없음
53324118,20231018,M,50대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,3,0,20,20,60,0,전통예술 직접 활동 및 수강하기,영화관 관람,없음,없음,없음
53324141,20231018,F,20대,서울특별시,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,0,2,60,0,0,40,0,친구-이성친구 만남,게임,없음,없음,없음
53324266,20231018,F,20대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,없음,0,3,0,0,0,100,0,산책-걷기,수다-잡담하기,낮잠자기,친구-이성친구 만남,쇼핑
53324302,20231018,F,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,5,10,30,30,30,10,0,국내 프로스포츠 영상 시청,독서,음악 공연 관람,생활공예-원예,요리-베이킹
53324670,20231018,F,50대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,5,10,20,70,0,10,0,독서,계모임-동창회-사교모임,박물관 관람,미술관-전시관 관람,음악 공연 관람
53325115,20231018,M,20대,경기도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,3,70,10,0,20,0,국내 프로스포츠 영상 시청,영상 컨텐츠 시청,수다-잡담하기,반려동물 돌보기,국내 프로스포츠 현장 관람
53325150,20231018,F,60대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,3,2,10,50,30,10,0,산책-걷기,영화관 관람,사회봉사활동,수다-잡담하기,헬스-보디빌딩 직접 하기
53325310,20231018,M,60대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,3,7,20,40,20,20,0,사진 촬영,걷기-속보-조깅 직접 하기,산책-걷기,사진 직접 활동 및 수강하기,영상 컨텐츠 시청
