RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
41927,20231227,M,20대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,1,1,100.00000,0.00000,0.00000,0.00000,0.00000,낮잠자기,산책-걷기,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 시청,맛집-카페 탐방
172322,20231227,F,20대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,6,30.00000,30.00000,20.00000,20.00000,0.00000,맛집-카페 탐방,산책-걷기,해외 프로스포츠 영상 시청,친구-이성친구 만남,영상 컨텐츠 시청
236099,20231227,M,20대,서울특별시,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해,2,5,30.00000,30.00000,10.00000,30.00000,0.00000,게임,볼링_ 당구-포켓볼 직접 하기,해외 프로스포츠 영상 시청,친구-이성친구 만남,가족-친지 만남
289713,20231227,M,20대,대전광역시,300만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,4,16,40.00000,40.00000,10.00000,10.00000,0.00000,영상 컨텐츠 시청,헬스-보디빌딩 직접 하기,걷기-속보-조깅 직접 하기,게임,친구-이성친구 만남
322223,20231227,M,20대,서울특별시,300만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해,3,3,90.00000,5.00000,0.00000,5.00000,0.00000,게임,영상 컨텐츠 시청,음악-라디오 감상,없음,없음
365673,20231227,M,20대,서울특별시,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,5,4,66.00000,9.00000,5.00000,20.00000,0.00000,게임,없음,없음,없음,없음
367964,20231227,M,20대,서울특별시,300만원 미만,남는 시간을 보내기 위해,마음의 안정-휴식을 위해,5,16,100.00000,0.00000,0.00000,0.00000,0.00000,게임,해외 프로스포츠 영상 시청,국내 프로스포츠 영상 시청,만화책 보기,없음
379871,20231227,M,20대,전라남도,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,10,30.00000,20.00000,10.00000,40.00000,0.00000,낮잠자기,가족-친지 만남,맛집-카페 탐방,낚시,종교활동
392978,20231227,M,20대,경기도,700만원 이상,대인 관계-교제를 위해,자기만족-즐거움을 위해,5,12,10.00000,10.00000,0.00000,80.00000,0.00000,영상 컨텐츠 시청,음악-라디오 감상,미술관-전시관 관람,맛집-카페 탐방,영화관 관람
424043,20231227,M,20대,경기도,500이상700만원 미만,스트레스 해소를 위해,건강 관리를 위해,3,3,40.00000,0.00000,60.00000,0.00000,0.00000,액티비티-체험,없음,없음,없음,없음
424076,20231227,M,20대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,자기 계발을 위해,2,2,20.00000,30.00000,10.00000,40.00000,0.00000,춤-무용 직접 활동 및 수강하기,없음,없음,없음,없음
425439,20231227,M,20대,부산광역시,300만원 미만,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해,6,3,30.00000,30.00000,20.00000,20.00000,0.00000,헬스-보디빌딩 직접 하기,없음,없음,없음,없음
