RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322168,20230628,M,30대,세종특별자치시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,4,9,10,30,30,30,0,계모임-동창회-사교모임,e스포츠 영상 시청,쇼핑,없음,없음
53322615,20230628,M,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,3,8,80,0,20,0,0,걷기-속보-조깅 직접 하기,게임,맛집-카페 탐방,테마파크-시설 방문,해외 프로스포츠 영상 시청
53322650,20230628,M,50대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,4,8,20,80,0,0,0,볼링_ 당구-포켓볼 직접 하기,기타 관광-여행,국내 여행,없음,없음
53322728,20230628,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,4,9,10,50,0,40,0,걷기-속보-조깅 직접 하기,수영 직접 하기,없음,없음,없음
53322767,20230628,F,40대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,4,8,50,10,10,30,0,가족-친지 만남,산책-걷기,쇼핑,영상 컨텐츠 시청,요리-베이킹
53322841,20230628,F,30대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,6,30,20,30,20,0,독서,없음,없음,없음,없음
53322994,20230628,M,40대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,없음,5,10,30,0,0,70,0,쇼핑,게임,영상 컨텐츠 시청,만화책 보기,가족-친지 만남
53323089,20230628,F,60대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,기타,3,5,40,10,20,30,0,종교활동,없음,없음,없음,없음
53323396,20230628,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,자기 계발을 위해,5,8,0,50,20,30,0,골프 영상 시청,신문-잡지보기,골프 직접 하기,없음,없음
53323407,20230628,M,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,12,30,50,0,20,0,등산 직접 하기,걷기-속보-조깅 직접 하기,해외여행,국내 여행,없음
