RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
16199,20240214,M,30대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,3,8,20.00000,60.00000,10.00000,10.00000,0.00000,걷기-속보-조깅 직접 하기,음주-유흥,해외여행,가족-친지 만남,낮잠자기
49825,20240214,M,30대,경기도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,5,10,20.00000,20.00000,20.00000,40.00000,0.00000,맛집-카페 탐방,산책-걷기,음주-유흥,없음,없음
209309,20240214,M,30대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,2,3,20.00000,30.00000,5.00000,45.00000,0.00000,구기스포츠 직접 하기,친구-이성친구 만남,영상 컨텐츠 시청,겨울레저스포츠 직접 하기,게임
349455,20240214,M,20대,경상북도,300만원 미만,대인 관계-교제를 위해,마음의 안정-휴식을 위해,1,4,50.00000,0.00000,0.00000,50.00000,0.00000,친구-이성친구 만남,국내 여행,국내 프로스포츠 현장 관람,국내 프로스포츠 영상 시청,영화관 관람
380151,20240214,M,20대,대전광역시,무응답,자기만족-즐거움을 위해,대인 관계-교제를 위해,5,7,60.00000,0.00000,20.00000,20.00000,0.00000,게임,음악-라디오 감상,영상 컨텐츠 시청,기타 스포츠-운동 직접하기,없음
380951,20240214,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,12,12,50.00000,20.00000,30.00000,0.00000,0.00000,음악 공연 관람,없음,없음,없음,없음
401420,20240214,M,20대,경기도,무응답,남는 시간을 보내기 위해,자기만족-즐거움을 위해,8,8,80.00000,0.00000,20.00000,0.00000,0.00000,영상 컨텐츠 시청,게임,쇼핑,음악-라디오 감상,없음
402376,20240214,M,20대,경기도,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해,6,12,50.00000,10.00000,10.00000,30.00000,0.00000,게임,수집,쇼핑,해외 프로스포츠 영상 시청,줄넘기-맨손체조-스트레칭 직접 하기
409432,20240214,M,20대,경기도,700만원 이상,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,5,5,100.00000,0.00000,0.00000,0.00000,0.00000,영상 컨텐츠 시청,박물관 관람,기타 취미-오락-휴식,골프 현장 관람,익스트림스포츠 직접하기
410086,20240214,M,20대,경기도,700만원 이상,대인 관계-교제를 위해,자기만족-즐거움을 위해,1,6,10.00000,10.00000,10.00000,70.00000,0.00000,친구-이성친구 만남,만화책 보기,e스포츠 영상 시청,영화관 관람,맛집-카페 탐방
