RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
306059,20240117,M,20대,서울특별시,무응답,대인 관계-교제를 위해,자기 계발을 위해,2,4,50.00000,30.00000,0.00000,20.00000,0.00000,소풍-피크닉,없음,없음,없음,없음
332991,20240117,M,20대,강원도,300만원 미만,자기만족-즐거움을 위해,없음,9,15,40.00000,40.00000,10.00000,10.00000,0.00000,만화책 보기,게임,영상 컨텐츠 시청,수집,음악-라디오 감상
423907,20240117,M,20대,경기도,300만원 미만,대인 관계-교제를 위해,스트레스 해소를 위해,3,5,70.00000,5.00000,10.00000,5.00000,10.00000,신문-잡지보기,걷기-속보-조깅 직접 하기,음악 직접 활동 및 수강하기,없음,없음
424932,20240117,M,20대,세종특별자치시,300만원 미만,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해,2,3,20.00000,20.00000,30.00000,30.00000,0.00000,생활공예-원예,없음,없음,없음,없음
444295,20240117,M,20대,인천광역시,300만원 미만,스트레스 해소를 위해,없음,0,0,30.00000,30.00000,10.00000,30.00000,0.00000,만화책 보기,게임,친구-이성친구 만남,수영 직접 하기,수다-잡담하기
452077,20240117,M,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,2,6,50.00000,0.00000,10.00000,40.00000,0.00000,영상 컨텐츠 시청,없음,없음,없음,없음
454830,20240117,M,20대,전라북도,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,2,1,50.00000,40.00000,0.00000,10.00000,0.00000,음악-라디오 감상,없음,없음,없음,없음
459319,20240117,M,20대,경상남도,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,10,10,25.00000,15.00000,30.00000,30.00000,0.00000,독서,산책-걷기,계모임-동창회-사교모임,문학 직접 활동 및 수강하기,낮잠자기
460366,20240117,M,20대,충청남도,300이상500만원 미만,대인 관계-교제를 위해,자기만족-즐거움을 위해,1,1,20.00000,20.00000,30.00000,30.00000,0.00000,갬블,없음,없음,없음,없음
53322246,20240117,M,50대,서울특별시,300이상500만원 미만,자기 계발을 위해,없음,2,3,50.00000,30.00000,0.00000,20.00000,0.00000,구기스포츠 직접 하기,볼링_ 당구-포켓볼 직접 하기,낮잠자기,없음,없음
