RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
125195,20230816,M,20대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,5,30,60,0,10,0,헬스-보디빌딩 직접 하기,등산 직접 하기,연극-뮤지컬 관람,산책-걷기,게임
225107,20230816,M,50대,전라남도,300만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,8,8,80,20,0,0,0,산책-걷기,게임,낮잠자기,영상 컨텐츠 시청,없음
335689,20230816,M,20대,경기도,500이상700만원 미만,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해,0,4,5,45,0,50,0,드라이브,자전거-싸이클-산악자전거 직접 타기,국내 여행,음악-라디오 감상,가족-친지 만남
369661,20230816,M,20대,경기도,300이상500만원 미만,대인 관계-교제를 위해,스트레스 해소를 위해,3,8,30,20,25,25,0,e스포츠 영상 시청,음악-라디오 감상,게임,없음,없음
404186,20230816,M,20대,서울특별시,700만원 이상,남는 시간을 보내기 위해,스트레스 해소를 위해,3,7,70,10,10,10,0,영상 컨텐츠 시청,없음,없음,없음,없음
411750,20230816,M,20대,경기도,300만원 미만,자기 계발을 위해,건강 관리를 위해,5,7,20,10,20,50,0,친구-이성친구 만남,영화관 관람,해외 프로스포츠 영상 시청,구기스포츠 직접 하기,종교활동
420748,20230816,M,50대,전라남도,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,2,2,0,100,0,0,0,골프 직접 하기,없음,없음,없음,없음
420953,20230816,M,20대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,6,4,0,20,50,30,0,친구-이성친구 만남,종교활동,기타 스포츠-운동 직접하기,없음,없음
424712,20230816,M,20대,강원도,300만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,5,3,10,50,30,10,0,산책-걷기,영상 컨텐츠 시청,없음,없음,없음
425585,20230816,M,20대,제주특별자치도,300이상500만원 미만,남는 시간을 보내기 위해,스트레스 해소를 위해,4,5,60,20,10,10,0,국내 프로스포츠 영상 시청,없음,없음,없음,없음
