RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
151108,20230726,M,20대,전라남도,300이상500만원 미만,스트레스 해소를 위해,건강 관리를 위해,2,8,70,10,10,10,0,해외 프로스포츠 영상 시청,게임,독서,없음,없음
168852,20230726,M,20대,서울특별시,300만원 미만,스트레스 해소를 위해,건강 관리를 위해,3,10,20,20,30,30,0,친구-이성친구 만남,영상 컨텐츠 시청,헬스-보디빌딩 직접 하기,없음,없음
218250,20230726,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,5,12,30,10,30,30,0,게임,독서,해외 프로스포츠 영상 시청,없음,없음
222492,20230726,M,20대,서울특별시,300만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,5,7,40,30,20,10,0,게임,영상 컨텐츠 시청,만화책 보기,쇼핑,음주-유흥
239679,20230726,M,20대,인천광역시,500이상700만원 미만,마음의 안정-휴식을 위해,대인 관계-교제를 위해,3,10,30,0,30,40,0,영상 컨텐츠 시청,낮잠자기,게임,헬스-보디빌딩 직접 하기,자전거-싸이클-산악자전거 직접 타기
289713,20230726,M,20대,대전광역시,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해,8,16,20,40,20,20,0,산책-걷기,헬스-보디빌딩 직접 하기,걷기-속보-조깅 직접 하기,영상 컨텐츠 시청,격투 스포츠 영상 시청
313304,20230726,M,20대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,3,10,60,0,20,20,0,어학-기술-자격증 취득,없음,없음,없음,없음
379871,20230726,M,20대,전라남도,300만원 미만,남는 시간을 보내기 위해,마음의 안정-휴식을 위해,2,8,20,30,10,40,0,드라이브,수다-잡담하기,국내 프로스포츠 영상 시청,가족-친지 만남,요리-베이킹
382628,20230726,M,20대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,1,4,40,10,10,40,0,등산 직접 하기,만화책 보기,산책-걷기,수다-잡담하기,사진 촬영
393517,20230726,M,20대,경기도,300만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,2,3,30,60,0,10,0,무도-격투기 직접 하기,영상 컨텐츠 시청,영화관 관람,수상레저스포츠 직접 하기,익스트림스포츠 직접하기
393943,20230726,M,20대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,대인 관계-교제를 위해,3,6,20,20,10,50,0,친구-이성친구 만남,쇼핑,음악 직접 활동 및 수강하기,산책-걷기,영화관 관람
410949,20230726,M,20대,제주특별자치도,300이상500만원 미만,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해,12,12,100,0,0,0,0,영상 컨텐츠 시청,음악-라디오 감상,게임,영상 컨텐츠 제작,SNS -인터넷 커뮤니티 활동
427787,20230726,M,20대,광주광역시,300만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해,5,8,80,0,0,20,0,게임,없음,없음,없음,없음
431701,20230726,M,20대,부산광역시,300이상500만원 미만,대인 관계-교제를 위해,마음의 안정-휴식을 위해,2,10,10,40,0,50,0,종교활동,국내 프로스포츠 영상 시청,국내 여행,없음,없음
433338,20230726,M,20대,대전광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,4,6,20,20,5,55,0,맛집-카페 탐방,영화관 관람,없음,없음,없음
442108,20230726,M,20대,강원도,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해,2,3,30,62,3,5,0,게임,산책-걷기,헬스-보디빌딩 직접 하기,없음,없음
444929,20230726,M,20대,경기도,300만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,1,3,10,60,0,30,0,국내 프로스포츠 영상 시청,없음,없음,없음,없음
446951,20230726,M,20대,대전광역시,300만원 미만,스트레스 해소를 위해,자기 계발을 위해,5,5,20,20,20,40,0,전통예술 직접 활동 및 수강하기,없음,없음,없음,없음
447315,20230726,M,20대,경상남도,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,5,10,0,70,0,30,0,게임,음주-유흥,없음,없음,없음
451059,20230726,M,20대,강원도,300만원 미만,자기만족-즐거움을 위해,없음,4,10,80,0,0,20,0,영상 컨텐츠 시청,낮잠자기,게임,종교활동,친구-이성친구 만남
451634,20230726,M,20대,전라남도,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,6,8,50,20,10,20,0,영상 컨텐츠 시청,만화책 보기,헬스-보디빌딩 직접 하기,없음,없음
452064,20230726,M,20대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,1,5,40,20,0,40,0,게임,친구-이성친구 만남,구기스포츠 직접 하기,국내 프로스포츠 영상 시청,요리-베이킹
