RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
90824,20240327,M,30대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,10,5,80.00000,5.00000,5.00000,10.00000,0.00000,게임,없음,없음,없음,없음
172116,20240327,M,30대,경기도,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,1,2,100.00000,0.00000,0.00000,0.00000,0.00000,음주-유흥,없음,없음,없음,없음
174844,20240327,F,20대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,3,6,50.00000,10.00000,10.00000,30.00000,0.00000,국내 여행,낮잠자기,수다-잡담하기,헬스-보디빌딩 직접 하기,연극-뮤지컬 관람
231065,20240327,M,30대,경기도,300이상500만원 미만,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해,1,3,80.00000,0.00000,0.00000,20.00000,0.00000,게임,쇼핑,친구-이성친구 만남,가족-친지 만남,없음
233902,20240327,M,30대,경기도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,5,10.00000,5.00000,20.00000,65.00000,0.00000,해외여행,없음,없음,없음,없음
274588,20240327,M,30대,경기도,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,1,2,20.00000,40.00000,20.00000,20.00000,0.00000,요리-베이킹,자전거-싸이클-산악자전거 직접 타기,소풍-피크닉,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 제작
364642,20240327,M,30대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,8,50.00000,20.00000,10.00000,20.00000,0.00000,산책-걷기,걷기-속보-조깅 직접 하기,가족-친지 만남,없음,없음
377530,20240327,M,30대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해,5,15,10.00000,60.00000,5.00000,25.00000,0.00000,국내 프로스포츠 현장 관람,친구-이성친구 만남,캠핑-차박,국내 프로스포츠 영상 시청,수다-잡담하기
382350,20240327,M,20대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해,1,2,40.00000,10.00000,20.00000,30.00000,0.00000,음악-라디오 감상,영상 컨텐츠 시청,해외 프로스포츠 영상 시청,종교활동,걷기-속보-조깅 직접 하기
392978,20240327,M,20대,경기도,700만원 이상,자기만족-즐거움을 위해,대인 관계-교제를 위해,6,12,10.00000,20.00000,20.00000,50.00000,0.00000,영상 컨텐츠 시청,친구-이성친구 만남,음악-라디오 감상,영화관 관람,미술관-전시관 관람
393548,20240327,M,30대,경기도,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,5,50.00000,30.00000,0.00000,20.00000,0.00000,낮잠자기,없음,없음,없음,없음
403520,20240327,M,30대,경기도,300이상500만원 미만,건강 관리를 위해,남는 시간을 보내기 위해,2,10,50.00000,20.00000,10.00000,20.00000,0.00000,걷기-속보-조깅 직접 하기,낮잠자기,해외 프로스포츠 영상 시청,없음,없음
410692,20240327,M,30대,경기도,무응답,마음의 안정-휴식을 위해,남는 시간을 보내기 위해,5,10,80.00000,0.00000,0.00000,20.00000,0.00000,게임,영상 컨텐츠 시청,산책-걷기,영화관 관람,낮잠자기
421092,20240327,M,20대,전라북도,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해,5,12,70.00000,10.00000,0.00000,20.00000,0.00000,SNS -인터넷 커뮤니티 활동,게임,영상 컨텐츠 시청,없음,없음
424043,20240327,M,20대,경기도,300이상500만원 미만,대인 관계-교제를 위해,남는 시간을 보내기 위해,1,3,100.00000,0.00000,0.00000,0.00000,0.00000,낮잠자기,없음,없음,없음,없음
