RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
283324,20230823,M,20대,경기도,300만원 미만,스트레스 해소를 위해,자기 계발을 위해,5,8,25,10,20,45,0,친구-이성친구 만남,헬스-보디빌딩 직접 하기,어학-기술-자격증 취득,걷기-속보-조깅 직접 하기,쇼핑
350393,20230823,M,20대,경기도,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,1,1,70,10,0,20,0,게임,없음,없음,없음,없음
380583,20230823,M,20대,전라남도,300이상500만원 미만,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해,3,5,20,10,30,40,0,어학-기술-자격증 취득,없음,없음,없음,없음
382762,20230823,M,20대,경기도,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,3,6,30,50,10,10,0,헬스-보디빌딩 직접 하기,영상 컨텐츠 제작,볼링_ 당구-포켓볼 직접 하기,자전거-싸이클-산악자전거 직접 타기,게임
391206,20230823,M,20대,제주특별자치도,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,3,6,78,1,20,1,0,걷기-속보-조깅 직접 하기,영상 컨텐츠 시청,낮잠자기,신문-잡지보기,산책-걷기
391256,20230823,M,20대,전라남도,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해,3,12,20,20,10,50,0,드라이브,SNS -인터넷 커뮤니티 활동,없음,없음,없음
411025,20230823,M,20대,서울특별시,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해,4,6,50,50,0,0,0,게임,영상 컨텐츠 시청,낮잠자기,e스포츠 영상 시청,음악-라디오 감상
412829,20230823,M,20대,서울특별시,500이상700만원 미만,건강 관리를 위해,스트레스 해소를 위해,3,4,50,50,0,0,0,영화관 관람,게임,헬스-보디빌딩 직접 하기,영상 컨텐츠 시청,만화책 보기
414333,20230823,M,20대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,남는 시간을 보내기 위해,8,7,30,30,0,40,0,해외여행,없음,없음,없음,없음
422095,20230823,M,20대,서울특별시,500이상700만원 미만,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해,2,4,10,25,15,50,0,종교활동,국내 여행,없음,없음,없음
422149,20230823,M,20대,대전광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,2,8,60,0,10,30,0,맛집-카페 탐방,음주-유흥,게임,친구-이성친구 만남,쇼핑
424037,20230823,M,20대,부산광역시,500이상700만원 미만,대인 관계-교제를 위해,자기 계발을 위해,4,10,30,20,30,20,0,e스포츠 영상 시청,수다-잡담하기,어학-기술-자격증 취득,없음,없음
424109,20230823,M,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,5,6,50,50,0,0,0,음악 직접 활동 및 수강하기,없음,없음,없음,없음
444321,20230823,M,20대,경상북도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,4,10,80,20,0,0,0,e스포츠 영상 시청,SNS -인터넷 커뮤니티 활동,게임,기타 스포츠 영상-현장 관람,만화책 보기
446484,20230823,M,20대,전라남도,500이상700만원 미만,자기 계발을 위해,자기만족-즐거움을 위해,3,4,30,30,20,20,0,문학 직접 활동 및 수강하기,생활공예-원예,없음,없음,없음
451958,20230823,M,20대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,8,10,40,20,10,30,0,만화책 보기,수집,전통예술 직접 활동 및 수강하기,온천-사우나-찜질방,줄넘기-맨손체조-스트레칭 직접 하기
457091,20230823,M,20대,대구광역시,500이상700만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,1,8,60,40,0,0,0,음악 공연 관람,음악-라디오 감상,영상 컨텐츠 시청,e스포츠 영상 시청,수집
458390,20230823,M,20대,경상북도,무응답,자기만족-즐거움을 위해,건강 관리를 위해,2,5,70,20,0,10,0,영상 컨텐츠 시청,음악-라디오 감상,산책-걷기,걷기-속보-조깅 직접 하기,수다-잡담하기
458406,20230823,M,20대,인천광역시,300만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,2,5,20,5,5,70,0,게임,없음,없음,없음,없음
