RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322231,20230607,M,20대,서울특별시,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해,3,5,50,0,0,50,0,드라이브,낮잠자기,없음,없음,없음
53322291,20230607,M,60대,서울특별시,700만원 이상,건강 관리를 위해,남는 시간을 보내기 위해,5,8,30,35,0,35,0,가족-친지 만남,낮잠자기,종교활동,산책-걷기,걷기-속보-조깅 직접 하기
53322357,20230607,F,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,없음,10,10,90,0,0,10,0,산책-걷기,SNS -인터넷 커뮤니티 활동,음악-라디오 감상,사진 촬영,국내 여행
53322506,20230607,M,20대,서울특별시,무응답,마음의 안정-휴식을 위해,남는 시간을 보내기 위해,2,4,70,0,10,20,0,게임,수다-잡담하기,쇼핑,걷기-속보-조깅 직접 하기,친구-이성친구 만남
53322536,20230607,F,40대,서울특별시,700만원 이상,스트레스 해소를 위해,없음,2,3,20,40,5,35,0,등산 직접 하기,없음,없음,없음,없음
53322595,20230607,F,50대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,없음,1,4,50,10,30,10,0,쇼핑,걷기-속보-조깅 직접 하기,없음,없음,없음
53322669,20230607,F,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,10,30,15,5,30,20,기타 관광-여행,산책-걷기,맛집-카페 탐방,가족-친지 만남,등산 직접 하기
53322749,20230607,F,20대,서울특별시,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해,3,8,60,0,0,40,0,독서,산책-걷기,낮잠자기,국내 여행,만화책 보기
53322777,20230607,F,40대,서울특별시,700만원 이상,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,1,4,50,10,30,10,0,요리-베이킹,미용,국내 여행,낮잠자기,없음
53322960,20230607,M,40대,서울특별시,500이상700만원 미만,대인 관계-교제를 위해,없음,1,1,25,25,25,25,0,쇼핑,영화관 관람,없음,없음,없음
53322966,20230607,M,60대,서울특별시,700만원 이상,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해,4,12,30,10,10,50,0,자전거-싸이클-산악자전거 직접 타기,드라이브,계모임-동창회-사교모임,친구-이성친구 만남,영화관 관람
53323098,20230607,F,60대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,자기 계발을 위해,5,5,5,25,55,15,0,독서,요리-베이킹,산책-걷기,박물관 관람,미술관-전시관 관람
53323149,20230607,M,20대,경기도,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,4,6,40,10,0,50,0,친구-이성친구 만남,국내 프로스포츠 영상 시청,라켓스포츠 직접 하기,산책-걷기,게임
53323456,20230607,F,20대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,5,8,80,5,5,10,0,영상 컨텐츠 시청,쇼핑,게임,국내 프로스포츠 영상 시청,만화책 보기
53323486,20230607,F,30대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,2,8,60,20,10,10,0,걷기-속보-조깅 직접 하기,반려동물 돌보기,산책-걷기,요가-필라테스 직접 하기,쇼핑
53323718,20230607,M,60대,서울특별시,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,6,10,30,50,10,10,0,걷기-속보-조깅 직접 하기,골프 영상 시청,국내 프로스포츠 영상 시청,산책-걷기,골프 직접 하기
53323846,20230607,F,20대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,15,50,10,0,40,0,가족-친지 만남,없음,없음,없음,없음
53323874,20230607,F,50대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,4,6,15,0,85,0,0,게임,산책-걷기,만화책 보기,독서,없음
53323991,20230607,M,40대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,3,3,50,10,0,40,0,수상레저스포츠 직접 하기,캠핑-차박,없음,없음,없음
53324015,20230607,M,20대,서울특별시,무응답,대인 관계-교제를 위해,남는 시간을 보내기 위해,6,12,85,5,0,10,0,영상 컨텐츠 시청,음악-라디오 감상,헬스-보디빌딩 직접 하기,계모임-동창회-사교모임,음주-유흥
53324052,20230607,M,30대,서울특별시,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,1,4,50,0,0,50,0,구기스포츠 직접 하기,낮잠자기,없음,없음,없음
53324089,20230607,F,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,없음,3,10,100,0,0,0,0,드라이브,쇼핑,국내 프로스포츠 영상 시청,없음,없음
53324104,20230607,F,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,3,10,40,60,0,0,0,요가-필라테스 직접 하기,생활공예-원예,낮잠자기,영상 컨텐츠 시청,음악-라디오 감상
53324346,20230607,M,20대,서울특별시,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,4,9,50,10,0,40,0,음주-유흥,가족-친지 만남,쇼핑,친구-이성친구 만남,국내 여행
53324446,20230607,M,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,8,80,0,0,20,0,영상 컨텐츠 시청,게임,낮잠자기,산책-걷기,맛집-카페 탐방
53324809,20230607,M,50대,서울특별시,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해,6,4,50,10,10,30,0,해외여행,드라이브,가족-친지 만남,줄넘기-맨손체조-스트레칭 직접 하기,친구-이성친구 만남
53324822,20230607,F,50대,서울특별시,700만원 이상,남는 시간을 보내기 위해,마음의 안정-휴식을 위해,10,10,40,15,15,30,0,음악-라디오 감상,반려동물 돌보기,산책-걷기,생활공예-원예,친구-이성친구 만남
53324937,20230607,F,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,8,10,20,20,20,10,30,산책-걷기,없음,없음,없음,없음
53325196,20230607,F,60대,서울특별시,300이상500만원 미만,자기 계발을 위해,없음,5,8,30,30,30,10,0,걷기-속보-조깅 직접 하기,쇼핑,어학-기술-자격증 취득,가족-친지 만남,음악 직접 활동 및 수강하기
53325209,20230607,F,30대,서울특별시,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,3,6,90,0,0,10,0,산책-걷기,맛집-카페 탐방,연극-뮤지컬 관람,영상 컨텐츠 시청,없음
53325421,20230607,M,20대,제주특별자치도,700만원 이상,마음의 안정-휴식을 위해,건강 관리를 위해,2,4,60,10,20,0,10,걷기-속보-조깅 직접 하기,신문-잡지보기,영상 컨텐츠 시청,없음,없음
53325751,20230607,M,20대,광주광역시,무응답,자기 계발을 위해,마음의 안정-휴식을 위해,2,6,40,20,30,10,0,국내 프로스포츠 영상 시청,게임,만화책 보기,독서,헬스-보디빌딩 직접 하기
53325793,20230607,F,20대,부산광역시,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해,2,7,70,20,0,10,0,영상 컨텐츠 시청,쇼핑,걷기-속보-조깅 직접 하기,산책-걷기,낮잠자기
53325891,20230607,M,40대,경기도,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,5,100,0,0,0,0,기타 취미-오락-휴식,없음,없음,없음,없음
53325969,20230607,F,50대,광주광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,1,3,50,10,10,30,0,음악-라디오 감상,미용,반려동물 돌보기,만화책 보기,낮잠자기
53325974,20230607,M,40대,울산광역시,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,3,3,50,50,0,0,0,헬스-보디빌딩 직접 하기,음주-유흥,낮잠자기,기타 취미-오락-휴식,국내 여행
53326064,20230607,M,30대,전라남도,300만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,2,2,95,0,5,0,0,영상 컨텐츠 시청,게임,없음,없음,없음
53326125,20230607,F,30대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,3,4,20,20,40,20,0,사회봉사활동,쇼핑,가족-친지 만남,캠핑-차박,친구-이성친구 만남
53326503,20230607,F,30대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,1,100,0,0,0,0,영상 컨텐츠 시청,게임,낮잠자기,국내 여행,국내 프로스포츠 영상 시청
53326533,20230607,M,40대,경상남도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,3,8,50,5,0,45,0,영상 컨텐츠 시청,캠핑-차박,산책-걷기,국내 프로스포츠 영상 시청,쇼핑
53326721,20230607,F,30대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,3,1,30,30,20,20,0,쇼핑,걷기-속보-조깅 직접 하기,음악-라디오 감상,국내 여행,기타 자기계발-자기관리
