RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
238721,20240103,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,4,8,60.00000,10.00000,10.00000,20.00000,0.00000,걷기-속보-조깅 직접 하기,계모임-동창회-사교모임,없음,없음,없음
351308,20240103,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,1,8,60.00000,20.00000,15.00000,5.00000,0.00000,게임,없음,없음,없음,없음
359820,20240103,M,20대,경기도,500이상700만원 미만,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해,4,12,80.00000,0.00000,0.00000,10.00000,10.00000,게임,국내 여행,쇼핑,종교활동,없음
393668,20240103,M,20대,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,2,8,20.00000,10.00000,0.00000,70.00000,0.00000,국내 여행,없음,없음,없음,없음
418862,20240103,M,20대,경기도,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,10,12,80.00000,5.00000,10.00000,5.00000,0.00000,보드게임-퍼즐-바둑-장기-체스 등,없음,없음,없음,없음
422714,20240103,M,20대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,6,3,90.00000,0.00000,0.00000,10.00000,0.00000,게임,영상 컨텐츠 시청,만화책 보기,없음,없음
424422,20240103,M,20대,경기도,300만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,2,5,10.00000,10.00000,20.00000,60.00000,0.00000,문학 직접 활동 및 수강하기,가족-친지 만남,없음,없음,없음
429242,20240103,M,20대,경기도,500이상700만원 미만,스트레스 해소를 위해,자기 계발을 위해,1,2,20.00000,20.00000,10.00000,50.00000,0.00000,낮잠자기,종교활동,없음,없음,없음
453053,20240103,M,20대,경기도,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,4,20.00000,10.00000,50.00000,20.00000,0.00000,종교활동,영상 컨텐츠 시청,음악-라디오 감상,친구-이성친구 만남,수다-잡담하기
458314,20240103,M,20대,경기도,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해,5,5,70.00000,20.00000,0.00000,10.00000,0.00000,SNS -인터넷 커뮤니티 활동,만화책 보기,종교활동,음악-라디오 감상,게임
460454,20240103,M,20대,서울특별시,700만원 이상,자기만족-즐거움을 위해,대인 관계-교제를 위해,6,8,40.00000,30.00000,0.00000,30.00000,0.00000,맛집-카페 탐방,신문-잡지보기,수다-잡담하기,사진 촬영,친구-이성친구 만남
461647,20240103,M,20대,경기도,700만원 이상,스트레스 해소를 위해,없음,2,2,20.00000,30.00000,40.00000,10.00000,0.00000,연극-뮤지컬 관람,없음,없음,없음,없음
463711,20240103,M,20대,경기도,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,7,8,80.00000,0.00000,0.00000,20.00000,0.00000,영상 컨텐츠 시청,국내 프로스포츠 현장 관람,없음,없음,없음
467261,20240103,M,20대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,없음,3,8,30.00000,30.00000,10.00000,30.00000,0.00000,미술관-전시관 관람,구기스포츠 직접 하기,친구-이성친구 만남,없음,없음
469538,20240103,M,20대,경기도,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해,4,12,100.00000,0.00000,0.00000,0.00000,0.00000,게임,없음,없음,없음,없음
469866,20240103,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,4,8,70.00000,0.00000,0.00000,30.00000,0.00000,게임,없음,없음,없음,없음
470643,20240103,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,4,8,40.00000,0.00000,20.00000,40.00000,0.00000,게임,없음,없음,없음,없음
53322179,20240103,M,50대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,5,30.00000,40.00000,10.00000,20.00000,0.00000,자전거-싸이클-산악자전거 직접 타기,없음,없음,없음,없음
53322514,20240103,F,60대,서울특별시,700만원 이상,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해,3,3,10.00000,30.00000,30.00000,30.00000,0.00000,음악 공연 관람,가족-친지 만남,요리-베이킹,걷기-속보-조깅 직접 하기,음악 직접 활동 및 수강하기
53322673,20240103,F,60대,서울특별시,300만원 미만,건강 관리를 위해,자기 계발을 위해,6,6,40.00000,30.00000,20.00000,10.00000,0.00000,쇼핑,산책-걷기,생활공예-원예,보드게임-퍼즐-바둑-장기-체스 등,가족-친지 만남
53322757,20240103,M,40대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,없음,0,2,50.00000,0.00000,0.00000,50.00000,0.00000,게임,없음,없음,없음,없음
53322965,20240103,F,60대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,대인 관계-교제를 위해,1,2,70.00000,0.00000,0.00000,30.00000,0.00000,음악 공연 관람,없음,없음,없음,없음
53323279,20240103,F,50대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,대인 관계-교제를 위해,1,2,50.00000,0.00000,10.00000,40.00000,0.00000,종교활동,해외 프로스포츠 영상 시청,산책-걷기,등산 직접 하기,가족-친지 만남
53323301,20240103,M,30대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,2,50.00000,0.00000,0.00000,50.00000,0.00000,국내 여행,박물관 관람,미술관-전시관 관람,없음,없음
