RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
220015,20240110,M,20대,서울특별시,300만원 미만,자기 계발을 위해,자기만족-즐거움을 위해,3,5,70.00000,5.00000,15.00000,10.00000,0.00000,게임,쇼핑,영화관 관람,미술관-전시관 관람,친구-이성친구 만남
335203,20240110,M,20대,부산광역시,300이상500만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해,3,10,30.00000,10.00000,50.00000,10.00000,0.00000,드라이브,독서,만화책 보기,없음,없음
381473,20240110,M,20대,서울특별시,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,5,15,30.00000,50.00000,10.00000,10.00000,0.00000,국내 여행,드라이브,없음,없음,없음
410595,20240110,M,20대,경상남도,300만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,10,5,5.00000,10.00000,50.00000,35.00000,0.00000,영상 컨텐츠 제작,요리-베이킹,액티비티-체험,친구-이성친구 만남,가족-친지 만남
419675,20240110,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,6,7,70.00000,10.00000,0.00000,20.00000,0.00000,게임,종교활동,영상 컨텐츠 시청,영화관 관람,사진 촬영
427475,20240110,M,20대,경기도,300만원 미만,자기 계발을 위해,자기만족-즐거움을 위해,5,5,4.00000,55.00000,5.00000,36.00000,0.00000,무용 공연 관람,게임,없음,없음,없음
429782,20240110,M,20대,강원도,무응답,남는 시간을 보내기 위해,마음의 안정-휴식을 위해,2,5,70.00000,20.00000,10.00000,0.00000,0.00000,게임,없음,없음,없음,없음
441078,20240110,M,20대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,8,12,50.00000,10.00000,20.00000,20.00000,0.00000,인테리어,골프 영상 시청,없음,없음,없음
447315,20240110,M,20대,경상남도,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,5,12,50.00000,20.00000,0.00000,30.00000,0.00000,영상 컨텐츠 시청,없음,없음,없음,없음
452901,20240110,M,20대,인천광역시,무응답,마음의 안정-휴식을 위해,스트레스 해소를 위해,4,4,50.00000,35.00000,5.00000,10.00000,0.00000,게임,영상 컨텐츠 시청,국내 프로스포츠 영상 시청,종교활동,해외 프로스포츠 영상 시청
