RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
158212,20231206,M,20대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,12,30.00000,50.00000,0.00000,20.00000,0.00000,헬스-보디빌딩 직접 하기,없음,없음,없음,없음
303649,20231206,M,20대,전라북도,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,3,12,20.00000,10.00000,30.00000,40.00000,0.00000,영화관 관람,없음,없음,없음,없음
348941,20231206,M,20대,경기도,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,4,8,70.00000,5.00000,5.00000,20.00000,0.00000,게임,낮잠자기,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,쇼핑
354894,20231206,M,20대,세종특별자치시,무응답,대인 관계-교제를 위해,자기만족-즐거움을 위해,4,6,0.00000,100.00000,0.00000,0.00000,0.00000,볼링_ 당구-포켓볼 직접 하기,없음,없음,없음,없음
365469,20231206,M,20대,울산광역시,500이상700만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,3,6,60.00000,20.00000,10.00000,10.00000,0.00000,게임,없음,없음,없음,없음
381415,20231206,M,20대,경상남도,300만원 미만,스트레스 해소를 위해,자기 계발을 위해,5,12,50.00000,20.00000,10.00000,20.00000,0.00000,게임,기타 취미-오락-휴식,헬스-보디빌딩 직접 하기,쇼핑,반려동물 돌보기
405537,20231206,M,20대,충청북도,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,3,6,60.00000,10.00000,0.00000,30.00000,0.00000,계모임-동창회-사교모임,등산 직접 하기,영화관 관람,없음,없음
417903,20231206,M,20대,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,2,3,50.00000,0.00000,0.00000,50.00000,0.00000,가족-친지 만남,없음,없음,없음,없음
425367,20231206,M,20대,울산광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,2,5,70.00000,20.00000,10.00000,0.00000,0.00000,독서,없음,없음,없음,없음
425975,20231206,M,20대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,8,30.00000,30.00000,10.00000,30.00000,0.00000,친구-이성친구 만남,어학-기술-자격증 취득,자전거-싸이클-산악자전거 직접 타기,게임,종교활동
