RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
216418,20231004,M,20대,대구광역시,300이상500만원 미만,대인 관계-교제를 위해,자기만족-즐거움을 위해,2,4,10,20,0,70,0,반려동물 돌보기,음주-유흥,낮잠자기,헬스-보디빌딩 직접 하기,쇼핑
306059,20231004,M,20대,경기도,무응답,스트레스 해소를 위해,자기 계발을 위해,2,4,50,30,10,10,0,게임,없음,없음,없음,없음
400936,20231004,M,20대,충청북도,700만원 이상,건강 관리를 위해,남는 시간을 보내기 위해,2,10,25,0,75,0,0,게임,없음,없음,없음,없음
407303,20231004,M,20대,충청남도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,2,6,20,20,0,60,0,구기스포츠 직접 하기,국내 여행,연극-뮤지컬 관람,국내 프로스포츠 현장 관람,없음
408809,20231004,M,20대,경기도,300만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,2,6,80,10,0,10,0,자전거-싸이클-산악자전거 직접 타기,없음,없음,없음,없음
410595,20231004,M,20대,경상남도,300만원 미만,대인 관계-교제를 위해,기타,5,5,10,10,10,20,50,친구-이성친구 만남,축제 참가,헬스-보디빌딩 직접 하기,수다-잡담하기,자전거-싸이클-산악자전거 직접 타기
424499,20231004,M,20대,서울특별시,300이상500만원 미만,자기 계발을 위해,남는 시간을 보내기 위해,8,5,70,30,0,0,0,국내 프로스포츠 영상 시청,없음,없음,없음,없음
425726,20231004,M,20대,강원도,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,3,50,30,20,0,0,국내 프로스포츠 영상 시청,만화책 보기,음악-라디오 감상,영상 컨텐츠 시청,낮잠자기
449338,20231004,M,20대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,4,10,50,30,0,20,0,게임,영상 컨텐츠 시청,영화관 관람,없음,없음
451059,20231004,M,20대,강원도,300만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해,2,5,70,0,0,30,0,영상 컨텐츠 시청,없음,없음,없음,없음
462695,20231004,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,2,10,15,30,5,20,30,산책-걷기,없음,없음,없음,없음
463013,20231004,M,20대,광주광역시,500이상700만원 미만,스트레스 해소를 위해,자기 계발을 위해,2,3,20,30,0,50,0,라켓스포츠 직접 하기,음주-유흥,게임,없음,없음
