RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
7722,20240605,M,60대,경상남도,300만원 미만,남는 시간을 보내기 위해,스트레스 해소를 위해,3,4,30.00000,20.00000,20.00000,30.00000,0.00000,기타 취미-오락-휴식,없음,없음,없음,없음
65504,20240605,F,40대,경상남도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,4,50.00000,10.00000,10.00000,30.00000,0.00000,쇼핑,낮잠자기,기타 자기계발-자기관리,맛집-카페 탐방,SNS -인터넷 커뮤니티 활동
165660,20240605,F,30대,경상남도,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,5,5,80.00000,0.00000,20.00000,0.00000,0.00000,게임,영상 컨텐츠 시청,독서,보드게임-퍼즐-바둑-장기-체스 등,만화책 보기
186724,20240605,F,50대,경상남도,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해,3,5,60.00000,20.00000,10.00000,10.00000,0.00000,계모임-동창회-사교모임,영화관 관람,종교활동,가족-친지 만남,없음
350800,20240605,M,20대,대구광역시,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해,10,15,100.00000,0.00000,0.00000,0.00000,0.00000,게임,영상 컨텐츠 시청,없음,없음,없음
352011,20240605,M,40대,경상남도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,10,90.00000,0.00000,0.00000,10.00000,0.00000,게임,영상 컨텐츠 시청,친구-이성친구 만남,쇼핑,낮잠자기
354155,20240605,M,50대,경상남도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,6,50.00000,10.00000,10.00000,30.00000,0.00000,국내 여행,맛집-카페 탐방,축제 참가,영상 컨텐츠 시청,국내 프로스포츠 영상 시청
359151,20240605,M,50대,전라남도,300만원 미만,건강 관리를 위해,대인 관계-교제를 위해,4,8,40.00000,20.00000,20.00000,20.00000,0.00000,국내 프로스포츠 영상 시청,음악-라디오 감상,쇼핑,줄넘기-맨손체조-스트레칭 직접 하기,드라이브
360890,20240605,M,20대,서울특별시,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,5,6,70.00000,30.00000,0.00000,0.00000,0.00000,게임,음악-라디오 감상,만화책 보기,걷기-속보-조깅 직접 하기,SNS -인터넷 커뮤니티 활동
379541,20240605,F,50대,경상남도,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,3,7,50.00000,0.00000,30.00000,20.00000,0.00000,반려동물 돌보기,국내 프로스포츠 영상 시청,종교활동,계모임-동창회-사교모임,가족-친지 만남
