RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322282,20230614,F,60대,서울특별시,700만원 이상,건강 관리를 위해,대인 관계-교제를 위해,2,14,10,30,10,50,0,산책-걷기,자전거-싸이클-산악자전거 직접 타기,친구-이성친구 만남,요리-베이킹,쇼핑
53322339,20230614,F,50대,서울특별시,700만원 이상,남는 시간을 보내기 위해,스트레스 해소를 위해,2,5,10,20,60,10,0,인테리어,산책-걷기,영화관 관람,독서,쇼핑
53322340,20230614,F,40대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,10,40,40,10,10,0,생활공예-원예,쇼핑,영상 컨텐츠 시청,기타 취미-오락-휴식,골프 직접 하기
53322377,20230614,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,1,2,20,80,0,0,0,골프 직접 하기,없음,없음,없음,없음
53322403,20230614,F,60대,서울특별시,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,5,3,30,30,20,20,0,요가-필라테스 직접 하기,댄스스포츠 직접 하기,가족-친지 만남,쇼핑,해외여행
53322501,20230614,M,60대,서울특별시,300이상500만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해,1,8,70,0,0,30,0,산책-걷기,낮잠자기,음악-라디오 감상,없음,없음
53322551,20230614,F,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,3,5,20,20,30,10,20,등산 직접 하기,산책-걷기,독서,종교활동,사회봉사활동
53322586,20230614,F,50대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,4,3,50,0,0,50,0,온천-사우나-찜질방,영화관 관람,드라이브,맛집-카페 탐방,국내 여행
53322640,20230614,M,40대,인천광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,3,10,50,10,10,30,0,등산 직접 하기,낮잠자기,국내 여행,산책-걷기,드라이브
53322945,20230614,F,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,2,1,0,50,50,0,0,해외여행,없음,없음,없음,없음
53323081,20230614,F,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,자기 계발을 위해,3,3,20,10,35,15,20,독서,산책-걷기,가족-친지 만남,친구-이성친구 만남,게임
53323253,20230614,F,50대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,1,5,70,0,0,30,0,산책-걷기,영화관 관람,없음,없음,없음
53323470,20230614,M,30대,서울특별시,700만원 이상,자기만족-즐거움을 위해,스트레스 해소를 위해,2,2,80,0,20,0,0,반려동물 돌보기,게임,e스포츠 영상 시청,국내 프로스포츠 영상 시청,해외여행
53323517,20230614,F,40대,서울특별시,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,2,1,20,60,10,10,0,국내 여행,쇼핑,걷기-속보-조깅 직접 하기,해외여행,낮잠자기
53323581,20230614,F,40대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,없음,2,4,70,0,0,30,0,영상 컨텐츠 시청,게임,없음,없음,없음
53323587,20230614,F,30대,경기도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,6,50,0,30,20,0,만화책 보기,독서,온천-사우나-찜질방,갬블,없음
53323867,20230614,M,60대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,자기만족-즐거움을 위해,2,10,20,25,25,30,0,영화관 관람,영상 컨텐츠 시청,가족-친지 만남,없음,없음
53323882,20230614,M,30대,서울특별시,300이상500만원 미만,건강 관리를 위해,자기 계발을 위해,5,10,30,30,20,20,0,헬스-보디빌딩 직접 하기,영상 컨텐츠 시청,라켓스포츠 직접 하기,산책-걷기,낮잠자기
53324011,20230614,F,50대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,5,8,70,10,10,10,0,국내 여행,없음,없음,없음,없음
53324100,20230614,M,30대,서울특별시,500이상700만원 미만,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해,1,2,100,0,0,0,0,만화책 보기,없음,없음,없음,없음
53324118,20230614,M,50대,서울특별시,500이상700만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해,14,6,30,50,10,10,0,영상 컨텐츠 시청,없음,없음,없음,없음
53324175,20230614,M,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해,3,8,50,0,20,30,0,산책-걷기,낮잠자기,종교활동,국내 프로스포츠 영상 시청,요리-베이킹
53324307,20230614,M,60대,서울특별시,300만원 미만,대인 관계-교제를 위해,남는 시간을 보내기 위해,4,8,20,20,10,50,0,영화관 관람,없음,없음,없음,없음
53324585,20230614,F,60대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해,3,5,25,10,35,30,0,국내 여행,수다-잡담하기,쇼핑,영상 컨텐츠 시청,요리-베이킹
53324641,20230614,F,60대,서울특별시,500이상700만원 미만,자기 계발을 위해,자기만족-즐거움을 위해,6,6,20,5,45,30,0,반려동물 돌보기,쇼핑,산책-걷기,기타 자기계발-자기관리,영상 컨텐츠 시청
53324740,20230614,F,50대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,3,6,10,10,70,10,0,사회봉사활동,온천-사우나-찜질방,산책-걷기,기타 관광-여행,맛집-카페 탐방
53324773,20230614,M,40대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,4,5,60,30,10,0,0,음주-유흥,기타 취미-오락-휴식,산책-걷기,음악-라디오 감상,해외 프로스포츠 영상 시청
53324863,20230614,M,20대,인천광역시,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,6,14,50,0,0,50,0,게임,없음,없음,없음,없음
53325171,20230614,F,20대,서울특별시,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해,4,2,50,15,10,25,0,걷기-속보-조깅 직접 하기,맛집-카페 탐방,반려동물 돌보기,연극-뮤지컬 관람,쇼핑
53325195,20230614,M,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,6,12,40,30,30,0,0,산책-걷기,인테리어,사진 직접 활동 및 수강하기,독서,온천-사우나-찜질방
53325233,20230614,M,60대,강원도,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,2,6,10,80,0,10,0,해외 프로스포츠 영상 시청,독서,국내 프로스포츠 영상 시청,없음,없음
53325234,20230614,F,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,대인 관계-교제를 위해,3,5,30,30,10,30,0,걷기-속보-조깅 직접 하기,산책-걷기,가족-친지 만남,등산 직접 하기,박물관 관람
53325428,20230614,F,30대,경기도,300이상500만원 미만,대인 관계-교제를 위해,마음의 안정-휴식을 위해,5,16,100,0,0,0,0,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,없음,없음,없음
53325444,20230614,F,60대,전라북도,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해,3,2,50,0,0,0,50,걷기-속보-조깅 직접 하기,드라이브,가족-친지 만남,국내 여행,종교활동
53325527,20230614,F,40대,제주특별자치도,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,3,2,20,20,30,30,0,문학 직접 활동 및 수강하기,산책-걷기,만화책 보기,가족-친지 만남,독서
53325589,20230614,M,60대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해,3,10,25,30,0,30,15,걷기-속보-조깅 직접 하기,가족-친지 만남,국내 프로스포츠 영상 시청,볼링_ 당구-포켓볼 직접 하기,계모임-동창회-사교모임
