,성별,연령대,가구소득정도,사용목적1순위값,사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,휴식오락사용비율,취미사용비율,본인계발사용비율,대인관계교제사용비율,기타사용비율,관심레저활동1순위값,계절,위도,경도,또래인구수
9920,0,2,2,5,0,3,10,30.0,20.0,10.0,40.0,0.0,51,0,35.4606,128.2132,502738
9921,0,4,2,7,9,5,5,20.0,50.0,20.0,10.0,0.0,5,0,37.8228,128.1555,274254
9922,0,3,2,2,0,0,4,50.0,0.0,0.0,30.0,20.0,63,0,37.4138,127.5183,2318045
9923,1,3,2,1,6,1,2,50.0,30.0,0.0,20.0,0.0,30,0,35.1796,129.0756,537918
9924,0,3,4,5,9,2,4,80.0,10.0,5.0,5.0,0.0,31,0,36.5184,126.8,348173
9925,0,2,3,0,5,3,8,50.0,30.0,0.0,20.0,0.0,52,0,37.4563,126.7052,477344
9926,1,4,4,1,8,1,3,30.0,40.0,20.0,10.0,0.0,31,0,35.1796,129.0756,557851
9927,1,3,4,5,0,2,4,0.0,80.0,0.0,20.0,0.0,5,0,36.5184,126.8,348173
9928,1,3,4,1,5,3,10,40.0,10.0,10.0,40.0,0.0,12,0,37.4138,127.5183,2318045
9929,0,4,2,8,5,6,5,40.0,0.0,0.0,60.0,0.0,10,0,35.8714,128.6014,364425
9930,0,1,1,6,0,1,5,20.0,0.0,0.0,80.0,0.0,49,0,35.1796,129.0756,389098
9931,0,2,1,0,5,2,2,55.0,20.0,20.0,5.0,0.0,49,0,36.4919,128.8889,355520
9932,1,3,3,7,1,2,2,20.0,30.0,50.0,0.0,0.0,64,0,35.4606,128.2132,580017
9933,1,1,3,1,9,1,4,20.0,40.0,0.0,40.0,0.0,6,0,36.3504,127.3845,187192
9934,0,2,4,8,7,2,10,50.0,10.0,10.0,30.0,0.0,80,0,37.8228,128.1555,207692
9935,1,1,0,5,9,4,8,30.0,30.0,10.0,10.0,20.0,14,0,37.4138,127.5183,1871078
9936,0,2,2,0,9,3,5,10.0,0.0,10.0,80.0,0.0,49,0,37.4138,127.5183,2243227
9937,0,4,0,3,9,2,5,50.0,25.0,0.0,25.0,0.0,5,0,35.1595,126.8526,184047
9938,0,1,4,8,5,3,12,60.0,20.0,10.0,10.0,0.0,61,0,35.4606,128.2132,348910
