,userId,관심레저활동1순위값,관심레저활동2순위값,관심레저활동3순위값,관심레저활동4순위값,관심레저활동5순위값
66,53329544,영화관 관람,요리-베이킹,없음,없음,없음
67,53329595,산책-걷기,해외여행,친구-이성친구 만남,없음,없음
68,53329697,국내 여행,걷기-속보-조깅 직접 하기,가족-친지 만남,맛집-카페 탐방,드라이브
69,53329809,국내 프로스포츠 현장 관람,산책-걷기,종교활동,국내 프로스포츠 영상 시청,사진 촬영
70,53329824,골프 직접 하기,종교활동,계모임-동창회-사교모임,온천-사우나-찜질방,국내 여행
71,53329903,국내 프로스포츠 영상 시청,영상 컨텐츠 시청,기타 스포츠 영상-현장 관람,박물관 관람,음주-유흥
72,53329914,기타 자기계발-자기관리,없음,없음,없음,없음
73,53329931,걷기-속보-조깅 직접 하기,국내 프로스포츠 영상 시청,소풍-피크닉,맛집-카페 탐방,SNS -인터넷 커뮤니티 활동
74,53330016,어학-기술-자격증 취득,없음,없음,없음,없음
75,53330035,어학-기술-자격증 취득,없음,없음,없음,없음
76,53330141,국내 프로스포츠 영상 시청,골프 직접 하기,라켓스포츠 직접 하기,영상 컨텐츠 시청,골프 영상 시청
77,53330261,골프 직접 하기,없음,없음,없음,없음
78,53330394,쇼핑,산책-걷기,영화관 관람,없음,없음
79,53330577,수영 직접 하기,친구-이성친구 만남,맛집-카페 탐방,국내 여행,등산 직접 하기
80,53330635,산책-걷기,맛집-카페 탐방,등산 직접 하기,골프 현장 관람,가족-친지 만남
81,53330740,골프 직접 하기,맛집-카페 탐방,산책-걷기,국내 여행,음주-유흥
82,53330787,국내 여행,걷기-속보-조깅 직접 하기,쇼핑,해외여행,없음
83,53330915,가족-친지 만남,친구-이성친구 만남,게임,국내 여행,영상 컨텐츠 시청
84,53330960,가족-친지 만남,독서,음악 공연 관람,캠핑-차박,없음
85,53331048,산책-걷기,드라이브,영상 컨텐츠 시청,맛집-카페 탐방,친구-이성친구 만남
86,53331123,구기스포츠 직접 하기,게임,없음,없음,없음
87,53331213,걷기-속보-조깅 직접 하기,쇼핑,계모임-동창회-사교모임,국내 프로스포츠 영상 시청,캠핑-차박
88,53331294,국내 프로스포츠 현장 관람,국내 프로스포츠 영상 시청,맛집-카페 탐방,갬블,해외 프로스포츠 영상 시청
89,53331364,게임,영상 컨텐츠 시청,만화책 보기,없음,없음
90,53331488,자전거-싸이클-산악자전거 직접 타기,기타 사회교류,맛집-카페 탐방,생활공예-원예,기타 자기계발-자기관리
91,53331528,게임,해외 프로스포츠 영상 시청,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,구기스포츠 직접 하기
92,53331545,SNS -인터넷 커뮤니티 활동,없음,없음,없음,없음
93,53331644,영상 컨텐츠 시청,없음,없음,없음,없음
94,53331795,친구-이성친구 만남,수다-잡담하기,SNS -인터넷 커뮤니티 활동,보드게임-퍼즐-바둑-장기-체스 등,음악-라디오 감상
95,53331818,국내 여행,없음,없음,없음,없음
96,53331871,종교활동,독서,생활공예-원예,어학-기술-자격증 취득,사진 촬영
97,53331936,게임,테마파크-시설 방문,국내 여행,없음,없음
